Surface,1,2,3,Average,Stdev
HMDS,67.65,63.08,61.5,64.1,3.2
Non-PC HMDS,70.18,69.09,72.69,70.7,1.8
Nitrocellulose,58.83,61.72,62.69,61.1,2.0
Nitrocellulose+PC,29.02,32.88,41.63,34.5,6.5
NPC glass,39.2,39.5,42.6,40.4,1.9
PC glass,0,0,0,0,0.0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Nitrocellulose+PC,29.02,32.88,41.63,34.5,6.5
Nitrocellulose,58.83,61.72,62.69,61.1,2.0
Non-PC HMDS,70.18,69.09,72.69,70.7,1.8
HMDS,67.65,63.08,61.5,64.1,3.2
NPC glass,39.2,39.5,42.6,40.4,1.9
PC glass,0,0,0,0,0.0